,n_comprobante,fecha,cliente,codigo,cantidad,descripcion,p_unitario,iva,precio_final
24489,B 0003- 00191071,21/04/2023,Cliente: Consumidor Final (1),7894157,1,Cabsha bocadito,90.0,21.0,90.0
24490,B 0003- 00191071,21/04/2023,Cliente: Consumidor Final (1),991,2,yogur con cereal light serenisima,290.0,21.0,580.0
24491,B 0003- 00191072,21/04/2023,Cliente: Consumidor Final (1),7791297,1,Mini Oreo x 50 g,170.0,21.0,170.0
24492,B 0003- 00191072,21/04/2023,Cliente: Consumidor Final (1),73,1,Galletitas amor,270.0,21.0,270.0
24493,B 0003- 00191073,21/04/2023,Cliente: Consumidor Final (1),3520,1,Bananita Dolca grande 30g,190.0,21.0,190.0
24494,B 0003- 00191073,21/04/2023,Cliente: Consumidor Final (1),7893854,1,Formis animales 102g,240.0,21.0,240.0
24495,B 0003- 00191074,21/04/2023,Cliente: Consumidor Final (1),1571,1,tabaco las hojas premio sin adictivos 30g,860.0,21.0,860.0
24496,B 0003- 00191075,21/04/2023,Cliente: Consumidor Final (1),896,1,Coca Cola 500cc,250.0,21.0,250.0
24497,B 0003- 00191076,21/04/2023,Cliente: Consumidor Final (1),54,1,Lenguitas Maria Lujan Savores Varios,250.0,21.0,250.0
24498,B 0003- 00191077,21/04/2023,Cliente: Consumidor Final (1),3503,1,Cafe doble o con leche,220.0,21.0,220.0
24499,B 0003- 00191077,21/04/2023,Cliente: Consumidor Final (1),3503,1,Cafe doble o con leche,220.0,21.0,220.0
24500,B 0003- 00191077,21/04/2023,Cliente: Consumidor Final (1),1,15,Caramelos (alka 3*10 super 2*10 butter 30),10.0,21.0,150.0
24501,B 0003- 00191077,21/04/2023,Cliente: Consumidor Final (1),57,1,Mogul Rollo,115.0,21.0,115.0
24502,B 0003- 00191077,21/04/2023,Cliente: Consumidor Final (1),7894730,1,7UP 250 cc,180.0,21.0,180.0
24503,B 0003- 00191077,21/04/2023,Cliente: Consumidor Final (1),7791709,1,Bandeja alfajor maicena casita dulce,540.0,21.0,540.0
24504,B 0003- 00191078,21/04/2023,Cliente: Consumidor Final (1),9540425,1,Paso de los toros Tonica Lata 269ml,140.0,21.0,140.0
24505,B 0003- 00191079,21/04/2023,Cliente: Consumidor Final (1),982,1,Quilmes Cristal 1L,660.0,21.0,660.0
24506,B 0003- 00191080,21/04/2023,Cliente: Consumidor Final (1),9540861,1,aceitunas marvavic descarozadas 200g,310.0,21.0,310.0
24507,B 0003- 00191081,21/04/2023,Cliente: Consumidor Final (1),3512,1,Topline 7 Menta,150.0,21.0,150.0
24508,B 0003- 00191082,21/04/2023,Cliente: QR Nico (21),7894768,2,Schweppes Pomelo zero 1500cc,580.0,21.0,1160.0
24509,B 0003- 00191083,21/04/2023,Cliente: Consumidor Final (1),31,1,lucky Strike 20KS,550.0,21.0,550.0
24510,B 0003- 00191084,21/04/2023,Cliente: Consumidor Final (1),7791597,1,Galletitas media tarde x 3,310.0,21.0,310.0
24511,B 0003- 00191085,21/04/2023,Cliente: QR Nico (21),9540496,2,Amstel Lager 473,340.0,21.0,680.0
24512,B 0003- 00191085,21/04/2023,Cliente: QR Nico (21),7894735,2,Santa Fe Lata 473cc,350.0,21.0,700.0
24513,B 0003- 00191086,21/04/2023,Cliente: Consumidor Final (1),1659,1,Citric naranja 500cc,340.0,21.0,340.0
24514,B 0003- 00191086,21/04/2023,Cliente: Consumidor Final (1),7894392,1,Pico Dulce Chupeton,60.0,21.0,60.0
24515,B 0003- 00191087,21/04/2023,Cliente: Billetera (23),3010,1,EMPANADAS,190.0,21.0,190.0
24516,B 0003- 00191087,21/04/2023,Cliente: Billetera (23),3012,3,EMPANADAS X 2,360.0,21.0,1080.0
24517,B 0003- 00191088,21/04/2023,Cliente: Consumidor Final (1),903,1,coca cola retornable 2000,550.0,21.0,550.0
24518,B 0003- 00191089,21/04/2023,Cliente: Consumidor Final (1),6367,1,Villa del sur  agua1.600cc,270.0,21.0,270.0
24519,B 0003- 00191090,21/04/2023,Cliente: Consumidor Final (1),7894591,1,chesterfield ks 20,460.0,21.0,460.0
24520,B 0003- 00191090,21/04/2023,Cliente: Consumidor Final (1),9540851,1,Cadbury 3 sueños 82 grs,630.0,21.0,630.0
24521,B 0003- 00191091,21/04/2023,Cliente: Consumidor Final (1),18,1,MARLBORO KS,620.0,10.5,620.0
24522,B 0003- 00191092,21/04/2023,Cliente: Billetera (23),9540609,1,terrabusi dedalitos  500g,80.0,21.0,80.0
24523,B 0003- 00191092,21/04/2023,Cliente: Billetera (23),7894086,2,Oreo clasica 117g,370.0,21.0,740.0
24524,B 0003- 00191092,21/04/2023,Cliente: Billetera (23),9541141,1,isopos doncella  x10 un.,495.0,21.0,495.0
24525,B 0003- 00191092,21/04/2023,Cliente: Billetera (23),899,1,Coca Cola 1500 cc,580.0,21.0,580.0
24526,B 0003- 00191092,21/04/2023,Cliente: Billetera (23),57,2,Mogul Rollo,115.0,21.0,230.0
24527,B 0003- 00191092,21/04/2023,Cliente: Billetera (23),9541118,1,Quento batata,460.0,21.0,460.0
24528,B 0003- 00191092,21/04/2023,Cliente: Billetera (23),1672,1,Monster Mango Loco 473ml,480.0,21.0,480.0
24529,B 0003- 00191092,21/04/2023,Cliente: Billetera (23),7893612,1,Pan Lactal Liviano Bimbo,790.0,21.0,790.0
24530,B 0003- 00191092,21/04/2023,Cliente: Billetera (23),6718,1,Salchichas Paladini x 6,380.0,21.0,380.0
24531,B 0003- 00191092,21/04/2023,Cliente: Billetera (23),900,1,Coca cola Zero 1500cc,580.0,21.0,580.0
24532,B 0003- 00191092,21/04/2023,Cliente: Billetera (23),991,2,yogur con cereal light serenisima,290.0,21.0,580.0
24533,B 0003- 00191093,21/04/2023,Cliente: Billetera (23),898,1,Coca Cola 1250cc Retornable,425.0,21.0,425.0
24534,B 0003- 00191093,21/04/2023,Cliente: Billetera (23),65,1,PIZZA ESPECIAL/MUZZA/NAPO/CANTI/ROQUE,510.0,21.0,510.0
24535,B 0003- 00191093,21/04/2023,Cliente: Billetera (23),7893494,1,Grolsch x 500ml,490.0,21.0,490.0
24536,B 0003- 00191094,21/04/2023,Cliente: Billetera (23),7894127,1,Cheetos horneados 94g,640.0,21.0,640.0
24537,B 0003- 00191094,21/04/2023,Cliente: Billetera (23),65,1,PIZZA ESPECIAL/MUZZA/NAPO/CANTI/ROQUE,510.0,21.0,510.0
24538,B 0003- 00191094,21/04/2023,Cliente: Billetera (23),1,15,Caramelos (alka 3*10 super 2*10 butter 30),10.0,21.0,150.0
24539,B 0003- 00191094,21/04/2023,Cliente: Billetera (23),128,1,CERVEZA SANTA FE LITRO,600.0,21.0,600.0
24540,B 0003- 00191095,21/04/2023,Cliente: Consumidor Final (1),9541006,1,papas Tryms con cebolla morada 60g,290.0,21.0,290.0
24541,B 0003- 00191095,21/04/2023,Cliente: Consumidor Final (1),7791481,2,Cerveza Imperial Lager,710.0,21.0,1420.0
24542,B 0003- 00191096,21/04/2023,Cliente: Consumidor Final (1),7895187,1,Topline 7 Mentol,150.0,21.0,150.0
24543,B 0003- 00191097,21/04/2023,Cliente: Consumidor Final (1),13,1,Philip Morris 10,360.0,10.5,360.0
24544,B 0003- 00191098,21/04/2023,Cliente: Consumidor Final (1),6683,1,Cepita Naranja 300cc,170.0,21.0,170.0
24545,B 0003- 00191099,21/04/2023,Cliente: Consumidor Final (1),7894624,1,3D 95g,640.0,21.0,640.0
24546,B 0003- 00191100,21/04/2023,Cliente: Consumidor Final (1),896,1,Coca Cola 500cc,250.0,21.0,250.0
24547,B 0003- 00191100,21/04/2023,Cliente: Consumidor Final (1),1689,1,Agua Villavicencio 1500cc,280.0,21.0,280.0
24548,B 0003- 00191100,21/04/2023,Cliente: Consumidor Final (1),899,1,Coca Cola 1500 cc,580.0,21.0,580.0
24549,B 0003- 00191101,21/04/2023,Cliente: Consumidor Final (1),1,20,Caramelos (alka 3*10 super 2*10 butter 30),10.0,21.0,200.0
24550,B 0003- 00191102,21/04/2023,Cliente: Consumidor Final (1),7894932,1,rollitos mogul acidos,115.0,21.0,115.0
24551,B 0003- 00191103,21/04/2023,Cliente: Consumidor Final (1),6394,1,Liverpool,290.0,21.0,290.0
24552,B 0003- 00191104,21/04/2023,Cliente: Consumidor Final (1),9540415,2,Corona 710cm Grande,850.0,21.0,1700.0
24553,B 0003- 00191105,21/04/2023,Cliente: Consumidor Final (1),7895193,1,Leche descremada La Serenisima 1l,395.0,21.0,395.0
24554,B 0003- 00191105,21/04/2023,Cliente: Consumidor Final (1),7894679,1,Lays clasicas 45grs,340.0,21.0,340.0
24555,B 0003- 00191106,21/04/2023,Cliente: Consumidor Final (1),273,1,Fernet Branca x 450 cc,1870.0,21.0,1870.0
24556,B 0003- 00191106,21/04/2023,Cliente: Consumidor Final (1),6407,1,Coca Cola 2.25cc,795.0,21.0,795.0
24557,B 0003- 00191106,21/04/2023,Cliente: Consumidor Final (1),7791300,1,papas fritas pehuamar 80gr,450.0,21.0,450.0
24558,B 0003- 00191106,21/04/2023,Cliente: Consumidor Final (1),7893899,1,Marlboro fusion blast box,630.0,21.0,630.0
24559,B 0003- 00191106,21/04/2023,Cliente: Consumidor Final (1),7895187,1,Topline 7 Mentol,150.0,21.0,150.0
24560,B 0003- 00191107,21/04/2023,Cliente: Consumidor Final (1),7791452,1,HIELO x 2 KG,320.0,21.0,320.0
24561,B 0003- 00191108,21/04/2023,Cliente: Consumidor Final (1),1,103,Caramelos (alka 3*10 super 2*10 butter 30),10.0,21.0,1030.0
24562,B 0003- 00191109,21/04/2023,Cliente: Consumidor Final (1),7893803,2,Imperial Amber Lager 1 L,710.0,21.0,1420.0
24563,B 0003- 00191109,21/04/2023,Cliente: Consumidor Final (1),9540580,1,cerveza SALTA CAUTIVA 473cc,430.0,21.0,430.0
24564,B 0003- 00191109,21/04/2023,Cliente: Consumidor Final (1),213,1,lays asado 85g,250.0,21.0,250.0
24565,B 0003- 00191110,21/04/2023,Cliente: Consumidor Final (1),862,1,pepsi black 1500 cc,480.0,21.0,480.0
24566,B 0003- 00191111,21/04/2023,Cliente: Consumidor Final (1),6017,1,papas lays x 94 grs,640.0,21.0,640.0
24567,B 0003- 00191111,21/04/2023,Cliente: Consumidor Final (1),6430,1,Coca Cola Zero de 2.25,795.0,21.0,795.0
24568,B 0003- 00191111,21/04/2023,Cliente: Consumidor Final (1),6074,1,Doritos 85g,650.0,21.0,650.0
24569,B 0003- 00191112,21/04/2023,Cliente: QR Nico (21),7894735,4,Santa Fe Lata 473cc,350.0,21.0,1400.0
24570,B 0003- 00191112,21/04/2023,Cliente: QR Nico (21),907,1,Sprite 1500cc,580.0,21.0,580.0
24571,B 0003- 00191112,21/04/2023,Cliente: QR Nico (21),7791355,1,Vino FINCA LAS MORAS Malbec,870.0,21.0,870.0
24572,B 0003- 00191113,21/04/2023,Cliente: Consumidor Final (1),2,10,Cigarrillos Suelto lucky,30.0,21.0,300.0
24573,B 0003- 00191113,21/04/2023,Cliente: Consumidor Final (1),6723,1,Pepitos Original 119 gr,380.0,21.0,380.0
24574,B 0003- 00191113,21/04/2023,Cliente: Consumidor Final (1),3674,1,Mana leche,210.0,21.0,210.0
24575,B 0003- 00191114,21/04/2023,Cliente: Consumidor Final (1),9540402,1,Stella Artois Noire 473,510.0,21.0,510.0
24576,B 0003- 00191114,21/04/2023,Cliente: Consumidor Final (1),30,1,Lucky Strike Box,620.0,10.5,620.0
24577,B 0003- 00191115,21/04/2023,Cliente: Consumidor Final (1),2,1,Cigarrillos Suelto lucky,30.0,21.0,30.0
24578,B 0003- 00191116,21/04/2023,Cliente: Consumidor Final (1),899,1,Coca Cola 1500 cc,580.0,21.0,580.0
24579,B 0003- 00191117,21/04/2023,Cliente: Consumidor Final (1),979,1,Brahma 970cc,680.0,21.0,680.0
24580,B 0003- 00191118,21/04/2023,Cliente: Consumidor Final (1),65,1,PIZZA ESPECIAL/MUZZA/NAPO/CANTI/ROQUE,510.0,21.0,510.0
24581,B 0003- 00191119,21/04/2023,Cliente: Consumidor Final (1),65,1,PIZZA ESPECIAL/MUZZA/NAPO/CANTI/ROQUE,510.0,21.0,510.0
24582,B 0003- 00191119,21/04/2023,Cliente: Consumidor Final (1),926,1,Paso de los Toros Tónica 1.500 cc,520.0,21.0,520.0
24583,B 0003- 00191119,21/04/2023,Cliente: Consumidor Final (1),7893417,1,Stella Artois lata 473 cm,510.0,21.0,510.0
24584,B 0003- 00191120,21/04/2023,Cliente: Consumidor Final (1),7894768,1,Schweppes Pomelo zero 1500cc,580.0,21.0,580.0
24585,B 0003- 00191120,21/04/2023,Cliente: Consumidor Final (1),28,1,Filtros slim Gizeh,340.0,21.0,340.0
24586,B 0003- 00191120,21/04/2023,Cliente: Consumidor Final (1),1661,1,OCB organico,240.0,21.0,240.0
24587,B 0003- 00191121,21/04/2023,Cliente: Billetera (23),7791452,1,HIELO x 2 KG,320.0,21.0,320.0
24588,B 0003- 00191121,21/04/2023,Cliente: Billetera (23),9540932,1,CARPANO ROSSO vermouth,1070.0,21.0,1070.0
24589,B 0003- 00191121,21/04/2023,Cliente: Billetera (23),6083,2,paso de los toros por 2lt y cuarto,510.0,21.0,1020.0
24590,B 0003- 00191122,21/04/2023,Cliente: Consumidor Final (1),9540678,1,DANICA salsa barbacoa 220g,250.0,21.0,250.0
24591,B 0003- 00191122,21/04/2023,Cliente: Consumidor Final (1),6394,1,Liverpool,290.0,21.0,290.0
24592,B 0003- 00191122,21/04/2023,Cliente: Consumidor Final (1),3647,1,lucky clic cool 12,360.0,21.0,360.0
24593,B 0003- 00191123,21/04/2023,Cliente: Consumidor Final (1),1514,1,Triple Miga Chico Migamax,430.0,21.0,430.0
24594,B 0003- 00191123,21/04/2023,Cliente: Consumidor Final (1),93,1,Alfajor Terrabusi Simple Negro,190.0,21.0,190.0
24595,B 0003- 00191123,21/04/2023,Cliente: Consumidor Final (1),3517,1,Encendedor Candela,130.0,21.0,130.0
24596,B 0003- 00191124,21/04/2023,Cliente: Consumidor Final (1),18,1,MARLBORO KS,620.0,10.5,620.0
24597,B 0003- 00191125,21/04/2023,Cliente: Consumidor Final (1),7893899,1,Marlboro fusion blast box,630.0,21.0,630.0
24598,B 0003- 00191125,21/04/2023,Cliente: Consumidor Final (1),7895187,1,Topline 7 Mentol,150.0,21.0,150.0
24599,B 0003- 00191126,21/04/2023,Cliente: Consumidor Final (1),7894921,1,Imperial IPA Lata 473cc,430.0,21.0,430.0
24600,B 0003- 00191126,21/04/2023,Cliente: Consumidor Final (1),7893494,1,Grolsch x 500ml,490.0,21.0,490.0
24601,B 0003- 00191126,21/04/2023,Cliente: Consumidor Final (1),7895275,1,Imperial Apa Lata 473cc,430.0,21.0,430.0
24602,B 0003- 00191126,21/04/2023,Cliente: Consumidor Final (1),196,1,Saladix Calabresa 100 gr,285.0,21.0,285.0
24603,B 0003- 00191126,21/04/2023,Cliente: Consumidor Final (1),2,2,Cigarrillos Suelto lucky,30.0,21.0,60.0
24604,B 0003- 00191127,21/04/2023,Cliente: Consumidor Final (1),900,1,Coca cola Zero 1500cc,580.0,21.0,580.0
24605,B 0003- 00191127,21/04/2023,Cliente: Consumidor Final (1),7894316,2,Topline 7 violet cherry,150.0,21.0,300.0
24606,B 0003- 00191128,21/04/2023,Cliente: Consumidor Final (1),20,1,Marlboro 10,400.0,10.5,400.0
24607,B 0003- 00191128,21/04/2023,Cliente: Consumidor Final (1),7791419,1,Heineken Ret x 1L,1010.0,21.0,1010.0
24608,B 0003- 00191128,21/04/2023,Cliente: Consumidor Final (1),3517,1,Encendedor Candela,130.0,21.0,130.0
24609,B 0003- 00191129,21/04/2023,Cliente: Consumidor Final (1),7791300,1,papas fritas pehuamar 80gr,450.0,21.0,450.0
24610,B 0003- 00191129,21/04/2023,Cliente: Consumidor Final (1),65,1,PIZZA ESPECIAL/MUZZA/NAPO/CANTI/ROQUE,510.0,21.0,510.0
24611,B 0003- 00191129,21/04/2023,Cliente: Consumidor Final (1),7791419,8,Heineken Ret x 1L,1010.0,21.0,8080.0
24612,B 0003- 00191130,21/04/2023,Cliente: QR Nico (21),1535,1,Chocolate Cadbury yogurt frutilla 80g,630.0,21.0,630.0
24613,B 0003- 00191130,21/04/2023,Cliente: QR Nico (21),7894932,1,rollitos mogul acidos,115.0,21.0,115.0
24614,B 0003- 00191130,21/04/2023,Cliente: QR Nico (21),9540487,2,Cunnington pomelo sin azucar 2.25L,350.0,21.0,700.0
24615,B 0003- 00191131,21/04/2023,Cliente: Consumidor Final (1),9540427,1,Alikal sobre,180.0,21.0,180.0
24616,B 0003- 00191132,21/04/2023,Cliente: Consumidor Final (1),6795,2,cafe en saquito la virginia x 5grs,60.0,21.0,120.0
24617,B 0003- 00191133,21/04/2023,Cliente: Consumidor Final (1),3666,1,Speed Chico 250cc,310.0,21.0,310.0
24618,B 0003- 00191134,21/04/2023,Cliente: Consumidor Final (1),7893575,3,Lata Heineken 473 cm3,510.0,21.0,1530.0
24619,B 0003- 00191135,21/04/2023,Cliente: Consumidor Final (1),1689,1,Agua Villavicencio 1500cc,280.0,21.0,280.0
24620,B 0003- 00191136,21/04/2023,Cliente: Consumidor Final (1),897,1,Coca Cola 1000 cc,420.0,21.0,420.0
24621,B 0003- 00191136,21/04/2023,Cliente: Consumidor Final (1),6407,1,Coca Cola 2.25cc,795.0,21.0,795.0
24622,B 0003- 00191137,21/04/2023,Cliente: Consumidor Final (1),7893575,1,Lata Heineken 473 cm3,510.0,21.0,510.0
24623,B 0003- 00191138,22/04/2023,Cliente: Consumidor Final (1),3647,1,lucky clic cool 12,360.0,21.0,360.0
24624,B 0003- 00191139,22/04/2023,Cliente: Consumidor Final (1),7894732,1,Terrabusi Variedad 390g,590.0,21.0,590.0
24625,B 0003- 00191140,22/04/2023,Cliente: Consumidor Final (1),31,1,lucky Strike 20KS,550.0,21.0,550.0
24626,B 0003- 00191141,22/04/2023,Cliente: Consumidor Final (1),3505,1,Medialuna/Bizcocho,120.0,21.0,120.0
24627,B 0003- 00191141,22/04/2023,Cliente: Consumidor Final (1),3503,1,Cafe doble o con leche,220.0,21.0,220.0
24628,B 0003- 00191141,22/04/2023,Cliente: Consumidor Final (1),1,12,Caramelos (alka 3*10 super 2*10 butter 30),10.0,21.0,120.0
24629,B 0003- 00191142,22/04/2023,Cliente: Consumidor Final (1),3505,2,Medialuna/Bizcocho,120.0,21.0,240.0
24630,B 0003- 00191143,22/04/2023,Cliente: Consumidor Final (1),3505,2,Medialuna/Bizcocho,120.0,21.0,240.0
24631,B 0003- 00191144,22/04/2023,Cliente: Consumidor Final (1),3509,1,Desayuno  para llevar con 2 facturas,400.0,21.0,400.0
24632,B 0003- 00191145,22/04/2023,Cliente: Consumidor Final (1),7894295,1,Leche entera la serenisima,395.0,21.0,395.0
24633,B 0003- 00191146,22/04/2023,Cliente: Consumidor Final (1),7898328,1,L&M LM red crafted box,490.0,21.0,490.0
24634,B 0003- 00191147,22/04/2023,Cliente: Consumidor Final (1),3505,6,Medialuna/Bizcocho,120.0,21.0,720.0
24635,B 0003- 00191147,22/04/2023,Cliente: Consumidor Final (1),195,2,Cereal Mix Yoghurt Frutilla Light,150.0,21.0,300.0
24636,B 0003- 00191148,22/04/2023,Cliente: Consumidor Final (1),7895179,2,CIGARRILOS PIER BOX,280.0,21.0,560.0
24637,B 0003- 00191149,22/04/2023,Cliente: Consumidor Final (1),7894732,1,Terrabusi Variedad 390g,590.0,21.0,590.0
24638,B 0003- 00191150,22/04/2023,Cliente: Consumidor Final (1),7893486,1,Turron Nevares,50.0,21.0,50.0
24639,B 0003- 00191151,22/04/2023,Cliente: Consumidor Final (1),215,2,suelto economico (pier / liverpool),20.0,0.0,40.0
24640,B 0003- 00191152,22/04/2023,Cliente: Consumidor Final (1),916,1,Powerade Manzana 500cc,320.0,21.0,320.0
24641,B 0003- 00191152,22/04/2023,Cliente: Consumidor Final (1),20,1,Marlboro 10,400.0,10.5,400.0
24642,B 0003- 00191153,22/04/2023,Cliente: Consumidor Final (1),7894758,1,soda social SIFON descartable,270.0,21.0,270.0
24643,B 0003- 00191154,22/04/2023,Cliente: Consumidor Final (1),1689,1,Agua Villavicencio 1500cc,280.0,21.0,280.0
24644,B 0003- 00191155,22/04/2023,Cliente: Consumidor Final (1),896,2,Coca Cola 500cc,250.0,21.0,500.0
24645,B 0003- 00191155,22/04/2023,Cliente: Consumidor Final (1),6341,1,Bon Aqua 500cc,220.0,21.0,220.0
24646,B 0003- 00191155,22/04/2023,Cliente: Consumidor Final (1),1514,3,Triple Miga Chico Migamax,430.0,21.0,1290.0
24647,B 0003- 00191156,22/04/2023,Cliente: Consumidor Final (1),9540882,2,Toro clasico blanco 750 ml,540.0,21.0,1080.0
24648,B 0003- 00191157,22/04/2023,Cliente: QR Nico (21),7893611,1,Pan de Panchos Bimbo,490.0,21.0,490.0
24649,B 0003- 00191157,22/04/2023,Cliente: QR Nico (21),1624,1,Coca Cola Zero x 500 cc,250.0,21.0,250.0
24650,B 0003- 00191157,22/04/2023,Cliente: QR Nico (21),7893728,1,Natura mayonesa 125 cm3,240.0,21.0,240.0
24651,B 0003- 00191157,22/04/2023,Cliente: QR Nico (21),6718,1,Salchichas Paladini x 6,380.0,21.0,380.0
24652,B 0003- 00191158,22/04/2023,Cliente: Consumidor Final (1),6467,1,Gatorade Limon 500ml,390.0,21.0,390.0
24653,B 0003- 00191158,22/04/2023,Cliente: Consumidor Final (1),3508,1,Café para llevar,240.0,21.0,240.0
24654,B 0003- 00191159,22/04/2023,Cliente: Consumidor Final (1),23,1,Parliament Box,760.0,10.5,760.0
24655,B 0003- 00191160,22/04/2023,Cliente: Consumidor Final (1),7893929,1,bon o bon clásico,75.0,21.0,75.0
24656,B 0003- 00191160,22/04/2023,Cliente: Consumidor Final (1),9540582,1,Gaona crunchips,290.0,21.0,290.0
24657,B 0003- 00191160,22/04/2023,Cliente: Consumidor Final (1),1668,2,yogur firme frutilla 190g,230.0,21.0,460.0
24658,B 0003- 00191160,22/04/2023,Cliente: Consumidor Final (1),9540956,1,Natural break almendras y mani,155.0,21.0,155.0
24659,B 0003- 00191161,22/04/2023,Cliente: Consumidor Final (1),7895179,1,CIGARRILOS PIER BOX,280.0,21.0,280.0
24660,B 0003- 00191162,22/04/2023,Cliente: Consumidor Final (1),7894348,1,Lina con alas,360.0,21.0,360.0
24661,B 0003- 00191163,22/04/2023,Cliente: Consumidor Final (1),13,1,Philip Morris 10,360.0,10.5,360.0
24662,B 0003- 00191163,22/04/2023,Cliente: Consumidor Final (1),7893728,1,Natura mayonesa 125 cm3,240.0,21.0,240.0
24663,B 0003- 00191163,22/04/2023,Cliente: Consumidor Final (1),896,1,Coca Cola 500cc,250.0,21.0,250.0
24664,B 0003- 00191164,22/04/2023,Cliente: Consumidor Final (1),867,1,Bizcochos 9 de oro Agridulces 200g,220.0,21.0,220.0
24665,B 0003- 00191165,22/04/2023,Cliente: Consumidor Final (1),907,1,Sprite 1500cc,580.0,21.0,580.0
24666,B 0003- 00191166,22/04/2023,Cliente: Consumidor Final (1),24,3,Marlboro Gold,700.0,10.5,2100.0
24667,B 0003- 00191167,22/04/2023,Cliente: Consumidor Final (1),7895179,1,CIGARRILOS PIER BOX,280.0,21.0,280.0
24668,B 0003- 00191168,22/04/2023,Cliente: Consumidor Final (1),1643,1,Blenders Pride Petaca,495.0,21.0,495.0
24669,B 0003- 00191169,22/04/2023,Cliente: Consumidor Final (1),9540444,1,Brio Manzana 1.5l,200.0,21.0,200.0
24670,B 0003- 00191169,22/04/2023,Cliente: Consumidor Final (1),923,1,Brio Pomelo 1.5,200.0,21.0,200.0
24671,B 0003- 00191169,22/04/2023,Cliente: Consumidor Final (1),7893720,1,Carbon Loeones,590.0,21.0,590.0
24672,B 0003- 00191170,22/04/2023,Cliente: Consumidor Final (1),3502,1,Cafe jarra,200.0,21.0,200.0
24673,B 0003- 00191170,22/04/2023,Cliente: Consumidor Final (1),3501,1,Cafe chico,150.0,21.0,150.0
24674,B 0003- 00191171,22/04/2023,Cliente: Consumidor Final (1),6800,1,cepita 1000cc durazno botella,395.0,21.0,395.0
24675,B 0003- 00191172,22/04/2023,Cliente: Consumidor Final (1),975,1,Stella Artois 975cc,940.0,21.0,940.0
24676,B 0003- 00191172,22/04/2023,Cliente: Consumidor Final (1),7894037,2,Isenbeck litro,590.0,21.0,1180.0
24677,B 0003- 00191172,22/04/2023,Cliente: Consumidor Final (1),2,3,Cigarrillos Suelto lucky,30.0,21.0,90.0
24678,B 0003- 00191173,22/04/2023,Cliente: Consumidor Final (1),3501,1,Cafe chico,150.0,21.0,150.0
24679,B 0003- 00191173,22/04/2023,Cliente: Consumidor Final (1),3502,1,Cafe jarra,200.0,21.0,200.0
24680,B 0003- 00191174,22/04/2023,Cliente: Consumidor Final (1),18,1,MARLBORO KS,620.0,10.5,620.0
24681,B 0003- 00191175,22/04/2023,Cliente: Consumidor Final (1),1672,2,Monster Mango Loco 473ml,480.0,21.0,960.0
24682,B 0003- 00191175,22/04/2023,Cliente: Consumidor Final (1),96,1,alfajor oreo trilogia,280.0,21.0,280.0
24683,B 0003- 00191175,22/04/2023,Cliente: Consumidor Final (1),921,1,kit kat 41.5 grs,235.0,21.0,235.0
24684,B 0003- 00191175,22/04/2023,Cliente: Consumidor Final (1),7893764,1,Fanta lata 310,210.0,21.0,210.0
24685,B 0003- 00191176,22/04/2023,Cliente: Consumidor Final (1),1624,1,Coca Cola Zero x 500 cc,250.0,21.0,250.0
24686,B 0003- 00191176,22/04/2023,Cliente: Consumidor Final (1),3012,1,EMPANADAS X 2,360.0,21.0,360.0
24687,B 0003- 00191177,22/04/2023,Cliente: Consumidor Final (1),898,1,Coca Cola 1250cc Retornable,425.0,21.0,425.0
24688,B 0003- 00191178,22/04/2023,Cliente: Billetera (23),3012,2,EMPANADAS X 2,360.0,21.0,720.0
24689,B 0003- 00191178,22/04/2023,Cliente: Billetera (23),6804,1,Levite Manzana 500,200.0,21.0,200.0
24690,B 0003- 00191179,22/04/2023,Cliente: Consumidor Final (1),9540778,1,Oreo Clasica 118grs,370.0,21.0,370.0
24691,B 0003- 00191180,22/04/2023,Cliente: Fabian (10),6394,3,Liverpool,290.0,21.0,870.0
24692,B 0003- 00191181,22/04/2023,Cliente: Consumidor Final (1),7893899,1,Marlboro fusion blast box,630.0,21.0,630.0
24693,B 0003- 00191181,22/04/2023,Cliente: Consumidor Final (1),3647,1,lucky clic cool 12,360.0,21.0,360.0
24694,B 0003- 00191182,22/04/2023,Cliente: Consumidor Final (1),7791346,1,Coca cola Zero 2L retornable,550.0,21.0,550.0
24695,B 0003- 00191182,22/04/2023,Cliente: Consumidor Final (1),9541068,1,chesterfild remix fresh 20ks,460.0,21.0,460.0
24696,B 0003- 00191183,22/04/2023,Cliente: Consumidor Final (1),6341,1,Bon Aqua 500cc,220.0,21.0,220.0
24697,B 0003- 00191183,22/04/2023,Cliente: Consumidor Final (1),1516,1,Triple Grande Migamax,540.0,21.0,540.0
24698,B 0003- 00191184,22/04/2023,Cliente: Consumidor Final (1),6262,1,Coca Cola Lata 310 cc,210.0,21.0,210.0
24699,B 0003- 00191185,22/04/2023,Cliente: QR Nico (21),1512,1,Pebete Salame y Queso Migamax,430.0,21.0,430.0
24700,B 0003- 00191186,22/04/2023,Cliente: Consumidor Final (1),7895012,1,Lays queso crema y cebolla 85g,640.0,21.0,640.0
24701,B 0003- 00191186,22/04/2023,Cliente: Consumidor Final (1),6262,1,Coca Cola Lata 310 cc,210.0,21.0,210.0
24702,B 0003- 00191187,22/04/2023,Cliente: Consumidor Final (1),9540547,1,Pep Rueditas Pizza 74g,420.0,21.0,420.0
